CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,萬華區,6300700,2018-07-02,15:00:00,35,27,62,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-02,18:00:00,32,26,69,西南風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-02,21:00:00,31,27,81,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,00:00:00,30,27,87,西北風,2,<= 1,34,晴,01,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,03:00:00,28,26,86,偏東風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,06:00:00,28,24,80,西南風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,09:00:00,32,26,70,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,12:00:00,36,28,63,偏西風,3,2,42,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,15:00:00,35,28,65,偏南風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,18:00:00,33,28,78,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,21:00:00,31,28,87,東北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-04,00:00:00,29,27,87,東北風,1,<= 1,35,晴,01,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-04,03:00:00,28,25,84,偏北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,中正區,6300500,2018-07-01,06:00:00,27,26,95,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,09:00:00,32,28,81,西北風,3,2,38,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,12:00:00,36,31,75,西北風,4,3,42,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,15:00:00,35,32,82,西北風,3,2,41,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,18:00:00,32,29,84,西北風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-01,21:00:00,30,29,90,偏西風,2,2,35,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,00:00:00,29,27,89,偏西風,2,<= 1,34,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,03:00:00,28,25,84,西南風,2,2,32,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,06:00:00,27,23,77,西南風,2,<= 1,30,晴,01,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,09:00:00,32,25,68,偏西風,3,2,36,晴,01,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,12:00:00,36,27,60,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,15:00:00,35,27,62,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,18:00:00,32,26,69,西南風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,21:00:00,31,27,81,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-03,00:00:00,30,27,87,西北風,2,<= 1,34,晴,01,0,10,2018-07-01
臺北市,中正區,6300500,2018-07-03,03:00:00,28,26,86,偏東風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,中正區,6300500,2018-07-03,06:00:00,28,24,80,西南風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-03,09:00:00,32,26,70,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-03,12:00:00,36,28,63,偏西風,3,2,42,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-03,15:00:00,35,28,65,偏南風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-03,18:00:00,33,28,78,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-03,21:00:00,31,28,87,東北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-04,00:00:00,29,27,87,東北風,1,<= 1,35,晴,01,0,10,2018-07-01
臺北市,中正區,6300500,2018-07-04,03:00:00,28,25,84,偏北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,信義區,6300200,2018-07-01,06:00:00,26,25,96,偏西風,1,<= 1,30,多雲,02,20,20,2018-07-01
臺北市,信義區,6300200,2018-07-01,09:00:00,31,28,83,西北風,3,2,36,多雲,02,20,20,2018-07-01
臺北市,信義區,6300200,2018-07-01,12:00:00,35,30,76,西北風,4,3,40,多雲,02,20,20,2018-07-01
臺北市,信義區,6300200,2018-07-01,15:00:00,34,31,83,西北風,3,2,39,多雲,02,20,20,2018-07-01
臺北市,信義區,6300200,2018-07-01,18:00:00,31,29,85,西北風,3,2,36,多雲,02,10,10,2018-07-01
