龍山文化,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
西周文化,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
東周文化,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
世界地球日環保海報展,(中華民國)美國在台協會,2018/03/01,2018/06/30
臺南家具產業博物館「家具產業歷史巡禮」常設展,(中華民國)臺南家具產業博物館,2018/01/02,2018/12/30
【新北市立圖書館新莊中港分館】107年06月性別平等面面觀海報展,(中華民國)新北市立圖書館總館,2018/06/01,2018/06/30
【新北市立圖書館新莊中港分館】107年07月性別平等面面觀海報展,(中華民國)本活動無實體展演者,2018/07/01,2018/07/31
【新北市立圖書館新莊中港分館】107年06月「傳統藝術」館藏特色主題書展,(中華民國)新北市立圖書館新莊中港分館,2018/06/01,2018/06/30
【新北市立圖書館新莊中港分館】107年07月「傳統藝術」館藏特色主題書展,(中華民國)本活動無實體展演者,2018/07/01,2018/07/31
跳進名畫中的兔子,(中華民國)Shae(許瑋彤),2018/03/03,2018/07/03
「幻象瑪爾斯」VR虛擬實境體驗展,(中華民國)臺南市南瀛科學教育館,2018/01/02,2018/12/31
南瀛科學教育館「天文世界的奧秘」常設展,(中華民國)臺南市南瀛科學教育館,2018/01/02,2018/12/30
紫砂風潮─傳世器及其他,(中華民國)國立故宮博物院,2018/04/08,2018/07/08
「在臺灣土地上留下女人的印記」彰化夢想館「臺灣女性文化地標」特展,(中華民國)彰化縣政府,2018/03/01,2018/06/30
樹谷生活科學館常設展,(中華民國)樹谷生活科學館,2018/01/02,2018/12/30
107年4-6月份主題書展：閱讀越健康《醫學養生》類,(中華民國)線西鄉立圖書館,2018/04/10,2018/06/30
日光石頭博物館常設展,(中華民國)陳仁德,2018/01/02,2018/12/31
臺灣烏腳病醫療紀念館常設展,(中華民國)烏腳病紀念館,2018/01/04,2018/12/30
蕭壠文化園區「看見西拉雅」常設展,(中華民國)蕭壠文化園區,2018/01/03,2018/12/30
顏水龍紀念館常設展,(中華民國)總爺藝文中心,2018/01/03,2018/12/30
倒風內海故事館常設展,(中華民國)倒風內海故事館,2018/01/03,2018/12/30
總爺藝文中心「甜蜜蜜－－到臺南找甜頭」常設展,(中華民國)總爺藝文中心,2018/01/03,2018/12/30
「紛．族」第五屆MAKAPHA 美術獎～吼美～,(中華民國)第五屆MAKAPA美術獎得獎者,2018/03/06,2018/06/30
楊逵文學紀念館常設展,(中華民國)楊逵文學紀念館,2018/01/02,2018/12/30
龍檔紀實展,(中華民國)龍潭區公所,2018/01/01,2018/07/31
2018年全國青少年編輯營－耕耘大地詩行,國立台灣文學館,2018/07/06,2018/07/09
過盡千帆─王攀元繪畫藝術,,2018/05/04,2018/07/02
蕭嘉生油畫展（員林市黃家莊餐廳）,(中華民國)蕭嘉生,2018/03/15,2018/09/30
"空間･詩･人:李光裕創作研究展 Space, Poetry and People：Art of Lee Kuang-Yu",(中華民國)李光裕,2018/03/31,2018/07/15
大陸名家油畫特展/觀音文物特展,(中國)陳培南,2018/03/12,2018/06/30
慈悲與智慧—宗教雕塑藝術  ,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
院藏清代歷史文書珍品,(中華民國)國立故宮博物院,2018/01/20,2018/11/04
院藏善本古籍選粹,(中華民國)國立故宮博物院,2018/01/20,2018/11/04
南北故宮　國寶薈萃,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
適於心—永樂皇帝的瓷器特展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
貴貴琳瑯游牧人：院藏清代蒙回藏文物特展,(中華民國)國立故宮博物院,2018/01/01,2018/08/20
若水澄華-院藏玻璃文物特展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
藝域漫遊 郎世寧新媒體藝術展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
集瓊藻—院藏珍玩精華展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
敬天格物－院藏玉器菁華展  ,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
摶泥幻化—院藏陶瓷菁華展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
鐘鼎彝銘─漢字源流展  ,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
貴冑榮華--清代家具展,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
國立故宮博物院戶外公共藝術〈無為/無不為〉,(中華民國)國立故宮博物院,2018/01/01,2018/12/31
張大千先生紀念館  ,(中華民國)國立故宮博物院;(中華民國)張大千,2018/01/01,2018/12/31
偽好物—十六至十八世紀「蘇州片」及其影響,(中華民國)國立故宮博物院,2018/04/01,2018/09/25
千年一問─鄭問故宮大展,(中華民國)國立故宮博物院,2018/06/16,2018/09/07
另空間,(中華民國)游文富;(澳大利亞)派翠西亞‧匹斯尼尼;(日本)加納貴弘;(中華民國) 須田悅弘;(中華民國)廖建忠,2018/01/01,2018/08/26
《教育學習展》找回真實之美 │ 洪禹,(中華民國)洪禹,2018/03/10,2018/08/26
常設展 臺灣的生物展示區,(中華民國)國立臺灣博物館,2018/01/01,2018/12/31
