證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2002,中鋼            ,3.33,105,20.44,1.3,106/1
2006,東和鋼鐵        ,5.21,105,14.1,1.04,106/1
2007,燁興            ,0,105,-,0.92,106/1
2008,高興昌          ,0,105,-,0.73,106/1
2009,第一銅          ,0,105,-,0.97,106/1
2010,春源            ,6.17,105,10.81,0.69,106/1
2012,春雨            ,5.26,105,14.39,1.09,106/1
2013,中鋼構          ,1.26,105,58.86,0.93,106/1
2014,中鴻            ,0,105,5.52,1.41,106/1
2015,豐興            ,5.91,105,14.31,1.71,106/1
2017,官田鋼          ,3.95,105,7.84,0.71,106/1
2020,美亞            ,5.78,105,7.49,1.01,106/1
2022,聚亨            ,0,105,-,0.76,106/1
2023,燁輝            ,7.46,105,7.32,0.83,106/1
2024,志聯            ,7.07,105,7.13,0.71,106/1
2025,千興            ,0,105,4.75,0.67,106/1
2027,大成鋼          ,4.55,105,17.09,1.34,106/1
2028,威致            ,0,105,8.73,1.4,106/1
2029,盛餘            ,6.45,105,8.56,1.3,106/1
2030,彰源            ,2.33,105,7.91,1.04,106/1
2031,新光鋼          ,6.47,105,9.86,1.41,106/1
2032,新鋼            ,4.07,105,18.9,0.76,106/1
2033,佳大            ,3.2,105,17.68,0.79,106/1
2034,允強            ,7.36,105,11.43,1.29,106/1
2038,海光            ,6.2,105,17.17,0.38,106/1
2049,上銀            ,0.9,105,37.48,3.88,106/1
2059,川湖            ,1.93,105,28.95,4.64,106/1
2062,橋椿            ,2.28,105,10.01,1.33,106/1
2069,運錩            ,6.17,105,9.98,1.28,106/1
2101,南港            ,4.08,105,21.17,2.01,106/1
2102,泰豐            ,0.72,105,-,0.7,106/1
2103,台橡            ,2.79,105,26.59,1.97,106/1
2104,中橡            ,6.15,105,11.57,1.03,106/1
2105,正新            ,4.57,105,19.1,2.47,106/1
2106,建大            ,4.2,105,15.67,2.04,106/1
2107,厚生            ,3.57,105,21.39,0.58,106/1
2108,南帝            ,6.02,105,15.76,1.68,106/1
2109,華豐            ,1.79,105,-,0.96,106/1
2114,鑫永銓          ,7.19,105,16.31,2.09,106/1
2115,六暉-KY         ,3.5,105,12.57,2.12,106/1
2201,裕隆            ,1.86,105,28.67,0.6,106/1
2204,中華            ,5.65,105,12.3,0.78,106/1
2206,三陽工業        ,4.67,105,-,1.31,106/1
2207,和泰車          ,3.2,105,18.26,4.44,106/1
2208,台船            ,0,105,-,0.91,106/1
2227,裕日車          ,7.91,105,16.75,3.77,106/1
2228,劍麟            ,3.19,105,17.84,3.07,106/1
2231,為升            ,2.59,105,33.45,11.27,106/1
2236,百達-KY         ,3.02,105,21.08,2.19,106/1
2239,英利-KY         ,2.83,105,14.94,2.03,106/1
2301,光寶科          ,5.83,105,12.01,1.55,106/1
2302,麗正            ,0,105,-,0.57,106/1
2303,聯電            ,3.52,105,16.71,0.8,106/1
2305,全友            ,0,105,-,0.81,106/1
2308,台達電          ,3.11,105,22.21,3.41,106/1
2311,日月光          ,3.58,105,15.6,1.9,106/1
2312,金寶            ,2.7,105,16.09,0.93,106/1
2313,華通            ,2.42,105,16.76,1.48,106/1
2314,台揚            ,0.36,105,41.65,3,106/1
2316,楠梓電          ,0,105,-,0.63,106/1
2317,鴻海            ,3.8,105,13.76,1.85,106/1
2321,東訊            ,0,105,-,5.71,106/1
2323,中環            ,0,105,-,0.37,106/1
2324,仁寶            ,5.67,105,12.16,0.9,106/1
2325,矽品            ,3.5,105,16.71,2.31,106/1
2327,國巨            ,2.97,105,12.83,2.15,106/1
2328,廣宇            ,2.54,105,11.95,1.42,106/1
2329,華泰            ,0,105,69.25,1.07,106/1
2330,台積電          ,3.33,105,15.29,3.75,106/1
2331,精英            ,0,105,-,1,106/1
2332,友訊            ,2.65,105,-,0.8,106/1
2337,旺宏            ,0,105,72.39,3.28,106/1
2338,光罩            ,0,105,-,1.14,106/1
2340,光磊            ,6.78,105,10.47,1.19,106/1
2342,茂矽            ,0,105,-,1.77,106/1
2344,華邦電          ,3.3,105,23.04,1.42,106/1
2345,智邦            ,4.12,105,19.16,4.45,106/1
2347,聯強            ,2.89,105,12.01,1.41,106/1
2348,海悅            ,0,105,143.39,3.07,106/1
2349,錸德            ,0,105,-,0.74,106/1
2351,順德            ,3.88,105,16.13,2.27,106/1
2352,佳世達          ,5.48,105,9.38,1.6,106/1
2353,宏碁            ,3.16,105,-,0.87,106/1
2354,鴻準            ,3.98,105,14.54,1.05,106/1
2355,敬鵬            ,5.35,105,10.66,1.47,106/1
2356,英業達          ,5.37,105,19.01,1.78,106/1
2357,華碩            ,5.78,105,11.68,1.17,106/1
2358,廷鑫            ,0,105,-,2.84,106/1
2359,所羅門          ,5.41,105,25.69,0.72,106/1
2360,致茂            ,3.39,105,23.3,3.34,106/1
2362,藍天            ,2.63,105,30.68,0.43,106/1
2363,矽統            ,0,105,-,0.59,106/1
2364,倫飛            ,0,105,-,0.83,106/1
2365,昆盈            ,0,105,-,0.65,106/1
2367,燿華            ,0,105,-,0.72,106/1
2368,金像電          ,0,105,40.2,0.79,106/1
2369,菱生            ,3.44,105,20.49,0.88,106/1
2371,大同            ,0,105,-,0.92,106/1
2373,震旦行          ,5.7,105,13.94,2.4,106/1
2374,佳能            ,4.84,105,12.16,0.64,106/1
2375,智寶            ,0,105,155,1.37,106/1
2376,技嘉            ,6.68,105,12.12,1.07,106/1
2377,微星            ,5.91,105,12.62,2.31,106/1
2379,瑞昱            ,4.52,105,18.89,2.57,106/1
2380,虹光            ,0,105,-,0.52,106/1
2382,廣達            ,4.83,105,19.54,2.08,106/1
2383,台光電          ,3.28,105,15.6,4.22,106/1
2385,群光            ,5.59,105,14.29,2.18,106/1
2387,精元            ,1.97,105,8.25,0.7,106/1
2388,威盛            ,0,105,31.16,1.43,106/1
2390,云辰            ,0.44,105,-,1.17,106/1
2392,正崴            ,3.57,105,24.85,0.95,106/1
2393,億光            ,6.01,105,13.1,1.26,106/1
2395,研華            ,3.33,105,24.94,5.28,106/1
2397,友通            ,9.22,105,12.26,1.71,106/1
2399,映泰            ,0,105,-,1.38,106/1
2401,凌陽            ,3.56,105,18.99,0.91,106/1
2402,毅嘉            ,0,105,-,1.05,106/1
2404,漢唐            ,9.85,105,10.27,2.14,106/1
2405,浩鑫            ,1.16,105,-,1,106/1
2406,國碩            ,0,105,-,0.93,106/1
2408,南亞科          ,2.66,105,6.15,1.59,106/1
2409,友達            ,4.34,105,5.44,0.66,106/1
2412,中華電          ,4.53,105,22.24,2.26,106/1
2413,環科            ,0,105,-,0.8,106/1
2414,精技            ,6.9,105,13.18,1.17,106/1
2415,錩新            ,3.64,105,10.79,1.41,106/1
2417,圓剛            ,0.97,105,-,0.69,106/1
2419,仲琦            ,8.57,105,12.59,1.38,106/1
2420,新巨            ,8.42,105,11.92,1.83,106/1
2421,建準            ,5.05,105,15.29,2.46,106/1
2423,固緯            ,5.36,105,11.98,1.47,106/1
2424,隴華            ,0,105,-,2,106/1
2425,承啟            ,0.88,105,244.29,1.09,106/1
2426,鼎元            ,6.31,105,23.11,1.19,106/1
2427,三商電          ,2.33,105,30.64,0.75,106/1
2428,興勤            ,3.76,105,11.46,2.29,106/1
2429,銘旺科          ,0,105,-,1.48,106/1
2430,燦坤            ,7.59,105,11.07,0.9,106/1
2431,聯昌            ,5.2,105,17.83,0.98,106/1
2433,互盛電          ,6.4,105,11.85,1.59,106/1
2434,統懋            ,0,105,-,1.04,106/1
2436,偉詮電          ,1.75,105,49.22,2.06,106/1
2438,翔耀            ,0,105,828,1.19,106/1
2439,美律            ,4.77,105,15.54,4.04,106/1
2440,太空梭          ,0,105,40.37,1.4,106/1
2441,超豐            ,5.54,105,12.25,1.86,106/1
2442,新美齊          ,0.57,105,17.17,0.56,106/1
2443,新利虹          ,0,105,-,0.69,106/1
2444,友旺            ,2.9,105,107.81,1.58,106/1
2448,晶電            ,0,105,-,0.64,106/1
2449,京元電子        ,6.08,105,11.79,1.44,106/1
2450,神腦            ,6.91,105,15.91,2.37,106/1
2451,創見            ,6.31,105,14.45,1.97,106/1
2453,凌群            ,4.13,105,14.94,0.7,106/1
2454,聯發科          ,3.73,105,15.39,1.59,106/1
2455,全新            ,4.31,105,28.22,3.78,106/1
2456,奇力新          ,5.04,105,15.66,2.66,106/1
2457,飛宏            ,0,105,-,0.78,106/1
2458,義隆            ,3.58,105,26.74,2.59,106/1
2459,敦吉            ,6.99,105,9.35,0.93,106/1
2460,建通            ,0,105,52.6,0.85,106/1
2461,光群雷          ,5.6,105,10.24,0.83,106/1
2462,良得電          ,2.41,105,31.52,1.37,106/1
2464,盟立            ,4.95,105,23.35,2.29,106/1
2465,麗臺            ,0,105,-,1.2,106/1
2466,冠西電          ,0,105,-,3.74,106/1
2467,志聖            ,2.56,105,14.44,1.43,106/1
2468,華經            ,4.44,105,17.58,0.7,106/1
2471,資通            ,7.95,105,19.15,1.11,106/1
2472,立隆電          ,6.12,105,17.12,1.79,106/1
2474,可成            ,2.6,105,14.83,2.5,106/1
2475,華映            ,0,105,4.05,0.95,106/1
2476,鉅祥            ,6.54,105,11.02,1.09,106/1
2477,美隆電          ,0,105,14.34,1.65,106/1
2478,大毅            ,2.18,105,19.45,0.91,106/1
2480,敦陽科          ,7.09,105,12.81,1.39,106/1
2481,強茂            ,5.57,105,11.97,0.99,106/1
2482,連宇            ,2.38,105,-,1.05,106/1
2483,百容            ,7.3,105,13.91,0.84,106/1
2484,希華            ,5.83,105,13.73,1.12,106/1
2485,兆赫            ,4.58,105,56.67,1.38,106/1
2486,一詮            ,0,105,-,0.52,106/1
2488,漢平            ,9.04,105,7.69,1.55,106/1
2489,瑞軒            ,8.4,105,168.75,1.2,106/1
2491,吉祥全          ,0,105,-,1,106/1
2492,華新科          ,2.23,105,12.97,1.95,106/1
2493,揚博            ,9,105,11.46,1.29,106/1
2495,普安            ,5.66,105,17.28,1.05,106/1
2496,卓越            ,1.18,105,55.92,4.66,106/1
2497,怡利電          ,1.78,105,-,1.89,106/1
2498,宏達電          ,0,105,-,1.23,106/1
2499,東貝            ,0,105,-,0.71,106/1
2501,國建            ,7.59,105,6.69,0.97,106/1
2504,國產            ,0,105,-,0.64,106/1
2505,國揚            ,0,105,60.91,1.08,106/1
2506,太設            ,0.95,105,20.69,0.6,106/1
2509,全坤建          ,6.23,105,-,0.9,106/1
2511,太子            ,8.23,105,12.03,0.8,106/1
2514,龍邦            ,2.22,105,12.85,0.89,106/1
2515,中工            ,2.98,105,37.53,0.5,106/1
2516,新建            ,3.52,105,-,0.57,106/1
2520,冠德            ,5.43,105,14.36,0.86,106/1
2524,京城            ,0,105,15.98,0.83,106/1
2527,宏璟            ,3.95,105,405,0.71,106/1
2528,皇普            ,0,105,75,1.12,106/1
2530,華建            ,5.73,105,-,1.07,106/1
2534,宏盛            ,5.08,105,6.79,1.13,106/1
2535,達欣工          ,8,105,7.18,0.83,106/1
2536,宏普            ,8.97,105,31.2,0.66,106/1
2537,聯上發          ,8.47,105,33.71,0.65,106/1
