資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180622,00646,12,1,440000,0.15
20180622,00646,13,2,1397000,0.49
20180622,00646,14,1,909000,0.32
20180622,00646,15,9,268454000,95.71
20180622,00646,16,0,0,0.00
20180622,00646,17,1469,280485000,100.00
20180622,00647L,1,12,1000,0.02
20180622,00647L,2,97,216000,6.32
20180622,00647L,3,15,119000,3.48
20180622,00647L,4,5,67000,1.96
20180622,00647L,5,3,55000,1.61
20180622,00647L,6,1,27000,0.79
20180622,00647L,7,3,111000,3.24
20180622,00647L,8,0,0,0.00
20180622,00647L,9,1,80000,2.34
20180622,00647L,10,2,241000,7.05
20180622,00647L,11,4,1323000,38.72
20180622,00647L,12,1,431000,12.61
20180622,00647L,13,1,745000,21.80
20180622,00647L,14,0,0,0.00
20180622,00647L,15,0,0,0.00
20180622,00647L,16,0,0,0.00
20180622,00647L,17,145,3416000,100.00
20180622,00648R,1,16,3551,0.00
20180622,00648R,2,1653,4397906,3.19
20180622,00648R,3,745,6138055,4.45
20180622,00648R,4,336,4420000,3.21
20180622,00648R,5,292,5460194,3.96
20180622,00648R,6,301,7864323,5.71
20180622,00648R,7,172,6299000,4.57
20180622,00648R,8,143,6696971,4.86
20180622,00648R,9,289,21360000,15.51
20180622,00648R,10,130,18395000,13.35
20180622,00648R,11,55,15150000,11.00
20180622,00648R,12,15,7165000,5.20
20180622,00648R,13,4,2752000,1.99
20180622,00648R,14,5,4634000,3.36
20180622,00648R,15,12,26952000,19.57
20180622,00648R,16,0,0,0.00
20180622,00648R,17,4168,137688000,100.00
20180622,00649,1,9,1000,0.00
20180622,00649,2,488,919000,6.01
20180622,00649,3,101,860000,5.63
20180622,00649,4,14,180000,1.17
20180622,00649,5,17,318000,2.08
20180622,00649,6,17,465000,3.04
20180622,00649,7,5,176000,1.15
20180622,00649,8,8,367000,2.40
20180622,00649,9,6,418000,2.73
20180622,00649,10,5,890000,5.82
20180622,00649,11,2,621000,4.06
20180622,00649,12,2,1000000,6.54
20180622,00649,13,1,664000,4.34
20180622,00649,14,2,1953000,12.78
20180622,00649,15,1,6440000,42.16
20180622,00649,16,0,0,0.00
20180622,00649,17,678,15272000,100.00
20180622,00650L,1,0,0,0.00
20180622,00650L,2,254,527000,13.73
20180622,00650L,3,54,429000,11.17
20180622,00650L,4,17,213000,5.54
20180622,00650L,5,9,171000,4.45
20180622,00650L,6,8,191000,4.97
20180622,00650L,7,8,300000,7.81
20180622,00650L,8,2,97000,2.52
20180622,00650L,9,4,269000,7.00
20180622,00650L,10,1,108000,2.81
20180622,00650L,11,1,391000,10.18
20180622,00650L,12,1,538000,14.01
20180622,00650L,13,1,604000,15.73
20180622,00650L,14,0,0,0.00
20180622,00650L,15,0,0,0.00
20180622,00650L,16,0,0,0.00
20180622,00650L,17,360,3838000,100.00
20180622,00651R,1,2,14,0.00
20180622,00651R,2,309,795986,3.66
20180622,00651R,3,137,1172000,5.40
20180622,00651R,4,59,787000,3.62
20180622,00651R,5,49,931000,4.29
20180622,00651R,6,45,1190000,5.48
20180622,00651R,7,32,1162000,5.35
20180622,00651R,8,23,1095000,5.04
20180622,00651R,9,33,2495000,11.50
20180622,00651R,10,17,2393000,11.03
20180622,00651R,11,3,997000,4.59
20180622,00651R,12,0,0,0.00
20180622,00651R,13,2,1406000,6.48
20180622,00651R,14,1,828000,3.81
20180622,00651R,15,1,6440000,29.68
20180622,00651R,16,0,0,0.00
20180622,00651R,17,713,21692000,100.00
20180622,00652,1,1770,679698,5.64
20180622,00652,2,1447,2930110,24.34
20180622,00652,3,157,1239355,10.29
20180622,00652,4,42,525832,4.36
20180622,00652,5,30,552277,4.58
20180622,00652,6,26,661802,5.49
20180622,00652,7,11,414000,3.43
20180622,00652,8,7,325926,2.70
20180622,00652,9,9,617000,5.12
20180622,00652,10,8,1158000,9.62
20180622,00652,11,5,1175000,9.76
20180622,00652,12,2,1037000,8.61
20180622,00652,13,1,719000,5.97
20180622,00652,14,0,0,0.00
20180622,00652,15,0,0,0.00
20180622,00652,16,0,0,0.00
20180622,00652,17,3515,12035000,100.00
20180622,00653L,1,5,433,0.00
20180622,00653L,2,436,982020,10.44
20180622,00653L,3,119,977547,10.39
20180622,00653L,4,46,602000,6.40
20180622,00653L,5,28,533000,5.66
20180622,00653L,6,20,505000,5.37
20180622,00653L,7,14,521000,5.54
20180622,00653L,8,13,612000,6.50
20180622,00653L,9,19,1331000,14.15
20180622,00653L,10,1,158000,1.68
20180622,00653L,11,0,0,0.00
20180622,00653L,12,2,1108000,11.78
20180622,00653L,13,1,797000,8.47
20180622,00653L,14,0,0,0.00
20180622,00653L,15,1,1276000,13.57
20180622,00653L,16,0,0,0.00
20180622,00653L,17,705,9403000,100.00
20180622,00654R,1,4,700,0.00
20180622,00654R,2,225,561301,6.63
20180622,00654R,3,67,530000,6.26
20180622,00654R,4,22,279000,3.29
20180622,00654R,5,29,522999,6.17
