貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-12-31 13:00:00+00:00,111515882197852_1962133497136072,"Wow~ 10元！ 會不會搶不到啊 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,646,11
2017-12-31 11:30:00+00:00,111515882197852_1963452087004213,"#預告 ２０１８一路發發發～?

鎖定週三晚上10點 ?
【歡慶2018 台北爽吃發發發】

#食尚玩家／ 顏永烈／ 夢多 mondo 大谷主水／ 納豆

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,495,3
2017-12-31 08:30:00+00:00,111515882197852_1963253430357412,"看完感動到雞皮疙瘩掉滿地啊 ?

#萬金石馬拉松 2018年正式升級為臺灣第一個國際田總認證的 ?「銀標籤」馬拉松賽事！??♂??♀ 國際級的馬拉松 臺灣也辦得到！?

#糖糖尚蓋巧",,1076,42
2017-12-31 07:30:00+00:00,111515882197852_1076187359188938,"太可愛了吧 ? #貓咪拉花 真的好療癒
【店家資訊】? http://bit.ly/2CkHKwr

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,866,31
2017-12-31 06:00:00+00:00,111515882197852_1963514506997971,"#跨年懶人包 怕塞一定要看這篇?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,518,5
2017-12-31 04:33:57+00:00,111515882197852_1965154970167258,"? 【桑塔熊直播Live】#桑塔熊出任務   ? #請分享 
鄉親啊~ 今天就是跨年夜了! 
跨年要幹嘛? 當然是在家吃肉乾看電視，與家人朋友開心迎接2018啊! 
阿松帶你來南門市場來當辦年貨的早鳥啦~~~
?

#2017 #桑塔熊 #快車肉乾
?新北市歡樂耶誕城【VR實境劇場】
 ? https://goo.gl/sVdQtn",食尚玩家 was live.,884,120
2017-12-31 04:00:00+00:00,111515882197852_1963205037028918,"最強疏導達人來了 ??? http://bit.ly/2Ci0dtr

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,913,23
2017-12-31 03:30:00+00:00,111515882197852_1963282900354465,"2017謝謝你們 2018也請多多指教 ?
回饋鄉親 #高清桌布限時下載 還有手機版桌布唷

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,800,19
2017-12-31 02:30:00+00:00,111515882197852_1962132223802866,"可愛的 #大耳查布 來了 ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,897,59
2017-12-31 01:30:00+00:00,111515882197852_1076491132491894,"? 台中又多了一處 #打卡新景點 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,6060,485
2017-12-31 00:30:00+00:00,111515882197852_1964237353592353,"跨年來台南七逃 呷好料 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1261,118
2017-12-30 23:00:00+00:00,111515882197852_1963589200323835,"每年最期待的就是採～草～莓 ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,3671,538
2017-12-30 15:30:00+00:00,111515882197852_1963476650335090,"#跨年懶人包 2018來看第一道曙光吧 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,762,28
2017-12-30 13:30:00+00:00,111515882197852_1964234650259290,"玩積木 喝珍奶 #親子小旅行 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1727,123
2017-12-30 12:30:00+00:00,111515882197852_1964077506941671,"哈日族~換了沒？

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,3508,197
2017-12-30 11:30:00+00:00,111515882197852_1963449223671166,"#預告 大家好！我們是BIG BANK！?

鎖定下週四晚上10點【玩命之徒 漂向濟州(2)】

#食尚玩家／ 浩角翔起笑一個 官方粉絲專頁／ 顏永烈／ 夢多 mondo 大谷主水

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,755,3
2017-12-30 10:30:00+00:00,111515882197852_1960205280662227,"每次說要喝的珍奶 又出現了啦 ??? 
這斑紋好像...一隻老虎 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,5256,192
2017-12-30 09:30:00+00:00,111515882197852_1963474963668592,"#跨年懶人包 來樂園跨年找樂子 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,593,9
2017-12-30 08:30:00+00:00,111515882197852_1963197720362983,"Kitty迷荷包又要失血啦 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,2575,114
2017-12-30 06:30:00+00:00,111515882197852_1076164705857870,"趁著好天氣來去 #隱藏秘境 走走 ??♂?
北中南3秘境 ? http://bit.ly/2pX3b1F

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,5482,222
2017-12-30 06:30:00+00:00,111515882197852_1964198663596222,"出門跨年記得保暖唷 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,726,22
2017-12-30 05:00:00+00:00,111515882197852_1963472850335470,"? #跨年懶人包 大家都去哪跨年呢？

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,824,36
2017-12-30 04:00:00+00:00,111515882197852_1075678819239792,"#新開店 這越南菜~ 看得讓人口水直流 ?
【店家資訊】? http://bit.ly/2lremdz

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,5186,404
2017-12-30 03:00:00+00:00,111515882197852_1963201660362589,"貓奴心已融化 ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,978,48
2017-12-30 01:00:00+00:00,111515882197852_1963402680342487,"卡娜赫拉!!! 少女心徹底潰散!!! ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,1198,52
2017-12-29 23:00:00+00:00,111515882197852_1075637295910611,"有花園的星巴克 ??? ?
【店家資訊】? http://bit.ly/2lhQhH0

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,11387,450
2017-12-29 22:00:00+00:00,111515882197852_1962273887122033,"本土劇女神就是不一樣 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,1017,25
2017-12-29 19:30:00+00:00,111515882197852_1963175913698497,"? 當數學家好累啊～  

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,353,9
2017-12-29 17:30:00+00:00,111515882197852_1963330663683022,"這個草莓美賣唷~?

#禁止酒駕 #未滿18歲請勿飲酒

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,2210,81
2017-12-29 16:00:00+00:00,111515882197852_1075691982571809,"吃我 吃我 吃我 ??

【店家資訊】? http://bit.ly/2CkQArx
【完整節目】? http://bit.ly/2CcyQkN

#食尚玩家／ 莎莎公主(鍾欣愉)／ 納豆

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,3218,151
2017-12-29 15:00:00+00:00,111515882197852_1963382797011142,"wow~ 超過70道 #越南菜 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,924,27
2017-12-29 13:30:00+00:00,111515882197852_1963181503697938,"?+? 開喝啦 #買一送一

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,2564,208
2017-12-29 12:30:00+00:00,111515882197852_1963209437028478,"２０１８跟我們一起發發發 ?

#下週預告

1／1（一）來去住一晚  
2018第一彈 直衝北海岸溫泉海鮮一次滿足
主持人：黃鐙輝、小CALL

1／2（二）就要醬玩  
高雄吃貨攻略 捷運美食秒殺之旅
主持人：楊子儀、哈孝遠、MASHA

1／3（三）食尚玩家  
歡慶2018 台北爽吃發發發
主持人：顏永烈、夢多、納豆

1／4（四）食尚玩家  
玩命之徒 漂向濟州（2）
主持人：阿翔、顏永烈、夢多

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,542,13
2017-12-29 11:30:00+00:00,111515882197852_1963184413697647,"出發囉 出發囉 ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,583,16
2017-12-29 09:02:32+00:00,111515882197852_1963205560362199,"#看直播送禮 #連假就要吃喝玩樂衝一波
連假怎麼玩，帶你吃月銷25萬顆-RAPL蘋果派、挑戰亞洲最高巨型溜滑梯、香港最強-檀島茶餐廳 極品蛋塔/菠蘿油 美味秘辛！    

#留言 我要_____ （請看直播）
超大中獎率獲得這些...
「檀島咖啡 極品蛋塔&菠蘿油 」、
「RAPL 蘋果派兌換券」、 
「急速溜滑梯體驗券」

潘布迪 Fat Budi",食尚玩家 was live.,796,270
2017-12-29 08:30:00+00:00,111515882197852_1963186867030735,"? GD代言的『濟州神話世界』???
阿翔、夢多、永烈帶你搶先玩～?
這裡適合闔家大小 追星族也絕不能錯過唷 ?

#濟州神話世界 #藍鼎 #玩命之徒 

#糖糖尚蓋巧",,2264,189
2017-12-29 06:30:00+00:00,111515882197852_1963087853707303,"16公尺高的溜滑梯...你敢滑嗎？?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,1977,192
2017-12-29 05:00:37+00:00,111515882197852_1963059290376826,"? 【桑塔熊直播Live】#桑塔熊出任務  ? #請分享 

桑塔熊新工作辦公環境大揭密 !!
原來耶誕活動結束後，桑塔熊沒有失業而是去了這~~~?!
氣派辦公大樓、優質健身課程規劃、綠能藝術超美空間…
這樣小編們就放心了啊~~ 

鎖定本篇直播，12月30號晚上12點以前按讚分享
就有機會抽到HappyCash智慧手環、SUGAR C7手機、Mega50的500元抵用券，還不趕快按讚分享!
#新北市歡樂耶誕城 #桑塔熊 #151
#台北遠東通訊園區  #Tpark
#HappyCash行動手環 # SUGAR糖果手機 #YAMAHA",食尚玩家 was live.,1036,557
2017-12-29 04:00:00+00:00,111515882197852_1962298150452940,"高雄也有大扭蛋機 ? #扭一波 

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,4277,190
2017-12-29 03:07:48+00:00,111515882197852_1962968973719191,"哇?TVBS竟然也推出超食尚的滴雞精——》享食尚滴雞精
?全國第一家黑羽土雞滴雞精有「產銷履歷認證」
?採用獨家萃取專利技術，保留超高營養質量
?零脂肪、零膽固醇
?常溫，好喝，不腥

#享食尚滴雞精
#滴雞精竟然也要產銷履歷",食尚玩家 was live.,392,15
2017-12-29 02:30:00+00:00,111515882197852_1962135033802585,"鼻要騙我～真有的很多小鮮肉嗎？ ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,662,14
2017-12-29 01:30:00+00:00,111515882197852_1962265700456185,"好美的蛋糕 這樣會捨不得吃啦 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

-- TVBS新聞線上看 ? https://goo.gl/VPw9e8",,464,14
